neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
EAUX CLAIRES,0.2240383575160346,0.08231299118986449,0.09943902115397045,0.0,0.016026981096083574,0.026259364076116093,0.0
KENNEDALE INDUSTRIAL,0.22146551227953704,0.0,0.015767628969074264,0.008105409296722346,0.0,0.19759247401374042,0.0
FALCONER HEIGHTS,0.20747685518178455,0.0876983877127123,0.11977846746907227,0.0,0.0,0.0,0.0
BLACKBURNE,0.20086929109849444,0.11341525401904573,0.0874540370794487,0.0,0.0,0.0,0.0
RIVER VALLEY CAMERON,0.20030813256747898,1.0733702384613544e-05,0.0,0.0,0.0,0.20029739886509437,0.0
GRANVILLE,0.20000057210750172,0.06922179126856179,0.09609257297645558,0.0,0.03468291833223938,0.0,3.2895302449606015e-06
GRIESBACH,0.19885084116042362,0.10695204967108737,0.018608196876195384,0.05580049051942127,0.0,0.01749010409371958,0.0
ARMSTRONG INDUSTRIAL,0.19816080942775274,0.0,0.03872809198576558,0.09175553453680287,0.0,0.06767718290518429,0.0
QUEEN MARY PARK,0.19629907374381264,0.017602319029463704,0.018550187148774266,0.0336823834661799,0.04096193080574549,0.0023011987098722707,0.08320105458377701
YELLOWHEAD CORRIDOR EAST,0.19563549364984856,0.0,0.05779282201406884,0.0,0.0,0.08552110973260237,0.05232156190317736
MORIN INDUSTRIAL,0.19241453912370315,0.0,0.06384394153114434,0.12857059759255882,0.0,0.0,0.0
TAWA,0.18016510267696922,0.0,0.1800839680186913,0.0,8.1134658277909e-05,0.0,0.0
SUNWAPTA INDUSTRIAL,0.17583668564833782,0.0,0.08798630771784073,5.727960721229357e-05,0.0,0.0,0.08779309832328479
DONSDALE,0.16810540650090816,0.16804485068032257,5.218313804085304e-05,0.0,1.7036152090473897e-06,0.0,6.669067335698395e-06
GARNEAU,0.16476973630428726,0.04215684509206305,0.006143404288970729,0.0,0.031103949551774007,0.0,0.08536553737147948
QUARRY RIDGE,0.1614672412838972,0.1614672412838972,0.0,0.0,0.0,0.0,0.0
BOYLE STREET,0.1607044173977523,0.003487011529029978,0.0035444383910797485,0.0,0.11981607990251146,0.0,0.03385688757513112
CENTRAL MCDOUGALL,0.1550255533919365,0.038617994358886944,0.021960015177580304,0.008785669959511156,0.005181048468861115,0.0,0.08048082542709697
SUDER GREENS,0.1531294124370846,0.03766293372038554,6.235991722805186e-08,0.0,0.11546641635678186,0.0,0.0
GAGNON ESTATE INDUSTRIAL,0.14682524344898212,0.0,0.0,0.14682524344898212,0.0,0.0,0.0
CALGARY TRAIL NORTH,0.14664557795154648,0.0,0.11812172588131323,0.02847523129467105,0.0,0.0,4.8620775562197965e-05
BONNIE DOON,0.14005500244292687,0.017039709468958348,0.004021157548875126,0.0,0.10011212350183153,0.018882011923261856,0.0
CLAREVIEW TOWN CENTRE,0.1389744053897809,0.04268429306844374,0.09627677080640429,0.0,0.0,1.3341514932869148e-05,0.0
ERMINESKIN,0.13877196110977363,0.006261124776184083,0.006463189665917009,0.0,0.0646602851776471,0.022043342069674936,0.039344019420350505
CARTER CREST,0.13313896993557015,0.13313896993557015,0.0,0.0,0.0,0.0,0.0
ROPER INDUSTRIAL,0.1283989433179906,0.0,0.0,0.1225101549814907,0.0,0.0,0.005888788336499883
GORMAN,0.12279965925914539,0.0,0.12279965925914539,0.0,0.0,0.0,0.0
POTTER GREENS,0.12247691596742138,0.047050361434826285,0.0182479215848103,0.0,0.0,0.05717863294778481,0.0
LARKSPUR,0.12171201471602541,0.043244983501353716,0.0784293548506195,1.8665018103626398e-05,1.9011345948554893e-05,0.0,0.0
